Name,Code,Org_Latitude,Org_Longitude,Org_Altitude,Correct_Latitude,Correct_Longitude,Correct_Altitude,Latitude,Longitude,Altitude,AntennaHeight,Northing,Easting,Height,State,Satellite_Lock,Satellite_View,PDOP,HRMS,VRMS,Age,Date,Time,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Base_Distance,CompensationMode,InclineAngle,AzimuthAngle,Correct_n,Correct_e,Correct_h
24,,045d28m39.7060080000s,009d13m32.8629840000s,161.985,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7060080000s,009d13m32.8629840000s,159.969,2.016,5036043.405,517647.625,159.969,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:59,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.224,0,0.00000000,270.00000000,0.000,0.000,0.000
25,,045d28m39.7055460000s,009d13m32.8675620000s,162.030,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7055460000s,009d13m32.8675620000s,160.014,2.016,5036043.391,517647.725,160.014,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:00,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.127,0,0.00000000,270.00000000,0.000,0.000,0.000
26,,045d28m39.7001040000s,009d13m32.8789920000s,162.039,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7001040000s,009d13m32.8789920000s,160.023,2.016,5036043.224,517647.973,160.023,FIXED,25,35,1.380,0.014,0.017,0.0,2023-11-13,11:15:01,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.934,0,0.00000000,270.00000000,0.000,0.000,0.000
27,,045d28m39.6962640000s,009d13m32.8906980000s,162.026,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6962640000s,009d13m32.8906980000s,160.010,2.016,5036043.106,517648.228,160.010,FIXED,25,35,1.380,0.014,0.017,0.0,2023-11-13,11:15:02,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.724,0,0.00000000,270.00000000,0.000,0.000,0.000
28,,045d28m39.6925620000s,009d13m32.8990080000s,162.015,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6925620000s,009d13m32.8990080000s,159.999,2.016,5036042.992,517648.408,159.999,FIXED,25,35,1.380,0.014,0.017,0.0,2023-11-13,11:15:03,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.583,0,0.00000000,270.00000000,0.000,0.000,0.000
29,,045d28m39.6879960000s,009d13m32.9131560000s,162.016,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6879960000s,009d13m32.9131560000s,160.000,2.016,5036042.852,517648.716,160.000,FIXED,25,35,1.380,0.014,0.017,0.0,2023-11-13,11:15:04,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.327,0,0.00000000,270.00000000,0.000,0.000,0.000
30,,045d28m39.6823440000s,009d13m32.9279340000s,162.009,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6823440000s,009d13m32.9279340000s,159.993,2.016,5036042.679,517649.037,159.993,FIXED,26,35,1.380,0.014,0.017,0.0,2023-11-13,11:15:05,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,278.069,0,0.00000000,270.00000000,0.000,0.000,0.000
31,,045d28m39.6758520000s,009d13m32.9417400000s,162.018,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6758520000s,009d13m32.9417400000s,160.002,2.016,5036042.479,517649.338,160.002,FIXED,26,35,1.380,0.014,0.017,0.0,2023-11-13,11:15:06,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,277.836,0,0.00000000,270.00000000,0.000,0.000,0.000
32,,045d28m39.6690660000s,009d13m32.9602320000s,162.019,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6690660000s,009d13m32.9602320000s,160.003,2.016,5036042.271,517649.740,160.003,FIXED,25,35,1.380,0.014,0.017,0.0,2023-11-13,11:15:07,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,277.509,0,0.00000000,270.00000000,0.000,0.000,0.000
33,,045d28m39.6638880000s,009d13m32.9795820000s,162.031,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6638880000s,009d13m32.9795820000s,160.015,2.016,5036042.112,517650.160,160.015,FIXED,26,34,1.380,0.014,0.017,0.0,2023-11-13,11:15:08,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,277.150,0,0.00000000,270.00000000,0.000,0.000,0.000
